state_name,"APPORTIONMENT POPULATION 
(APRIL 1, 2020)",reps,change_reps,statecode
Alabama,5030053,7,0.0,AL
Alaska,736081,1,0.0,AK
Arizona,7158923,9,0.0,AZ
Arkansas,3013756,4,0.0,AR
California,39576757,52,-1.0,CA
Colorado,5782171,8,1.0,CO
Connecticut,3608298,5,0.0,CT
Delaware,990837,1,0.0,DE
Florida,21570527,28,1.0,FL
Georgia,10725274,14,0.0,GA
Hawaii,1460137,2,0.0,HI
Idaho,1841377,2,0.0,ID
Illinois,12822739,17,-1.0,IL
Indiana,6790280,9,0.0,IN
Iowa,3192406,4,0.0,IA
Kansas,2940865,4,0.0,KS
Kentucky,4509342,6,0.0,KY
Louisiana,4661468,6,0.0,LA
Maine,1363582,2,0.0,ME
Maryland,6185278,8,0.0,MD
Massachusetts,7033469,9,0.0,MA
Michigan,10084442,13,-1.0,MI
Minnesota,5709752,8,0.0,MN
Mississippi,2963914,4,0.0,MS
Missouri,6160281,8,0.0,MO
Montana,1085407,2,1.0,MT
Nebraska,1963333,3,0.0,NE
Nevada,3108462,4,0.0,NV
New Hampshire,1379089,2,0.0,NH
New Jersey,9294493,12,0.0,NJ
New Mexico,2120220,3,0.0,NM
New York,20215751,26,-1.0,NY
North Carolina,10453948,14,1.0,NC
North Dakota,779702,1,0.0,ND
Ohio,11808848,15,-1.0,OH
Oklahoma,3963516,5,0.0,OK
Oregon,4241500,6,1.0,OR
Pennsylvania,13011844,17,-1.0,PA
Rhode Island,1098163,2,0.0,RI
South Carolina,5124712,7,0.0,SC
South Dakota,887770,1,0.0,SD
Tennessee,6916897,9,0.0,TN
Texas,29183290,38,2.0,TX
Utah,3275252,4,0.0,UT
Vermont,643503,1,0.0,VT
Virginia,8654542,11,0.0,VA
Washington,7715946,10,0.0,WA
West Virginia,1795045,2,-1.0,WV
Wisconsin,5897473,8,0.0,WI
Wyoming,577719,1,0.0,WY
TOTAL APPORTIONMENT POPULATION1,331108434,435,,
